tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu,eh_condo
Apartamento,Centro,Avenida Calógeras,80,3,1,1.0,1800,0.0,0.0,0
Apartamento,Centro,Rua Rui Barbosa,92,3,2,1.0,1800,716.0,253.0,1
Apartamento,Vila Vilas Boas,Avenida Três Barras,60,2,1,1.0,1800,150.0,0.0,1
Casa,Panorama,Rua Roraima,64,2,1,1.0,1800,0.0,0.0,0
Apartamento,Tiradentes,Rua Silvino Dote,44,2,1,1.0,1800,0.0,0.0,0
Casa,Vila Eliane,Avenida Duque de Caxias,65,2,1,2.0,1800,300.0,0.0,1
Casa,Sobrinho,Rua Benjamin Constant,214,3,1,2.0,1800,0.0,0.0,0
Apartamento,Jardim Jacy,Avenida Europa,101,3,2,1.0,1800,0.0,0.0,0
Apartamento,Centro,Rua Marechal Rondon,151,4,3,1.0,1800,1498.0,431.0,1
Apartamento,Vila Moreninha,Rua Maracaju,80,3,3,1.0,1800,688.0,199.0,1
Casa,Vila Nova Campo Grande,Rua 116,74,2,1,1.0,1800,0.0,0.0,0
Apartamento,Coronel Antonino,Rua São Sepé,60,2,1,1.0,1800,0.0,150.0,0
Casa,Parque do Sol,Rua Maria Del Horno Samper,100,3,2,4.0,1800,0.0,172.0,0
Casa,Vila Carlota,Rua do Franco,50,2,1,3.0,1850,0.0,103.0,0
Apartamento,São Francisco,Rua Quatorze de Julho,52,2,1,1.0,1900,0.0,0.0,0
Casa,Monte Castelo,Rua Rio de Janeiro,67,3,1,1.0,1900,0.0,0.0,0
Apartamento,Tiradentes,Avenida Marquês de Pombal,49,2,1,1.0,1900,0.0,0.0,0
Apartamento,Centro,Rua Rui Barbosa,69,3,2,1.0,1900,470.0,240.0,1
Apartamento,Cabreúva,Rua Quatorze de Julho,60,2,1,1.0,1930,450.0,120.0,1
Apartamento,Monte Castelo,Rua Antonina de Castro Faria,80,2,1,2.0,2000,875.0,286.0,1
Casa,Universitário,Rua Elvira Matos de Oliveira,100,3,2,1.0,2000,0.0,0.0,0
Apartamento,Centro,Avenida Afonso Pena,120,2,1,1.0,2000,488.0,19.0,1
Casa,Monte Carlo,Rua Val de Palmas,126,3,1,2.0,2000,0.0,0.0,0
Apartamento,Vila Rosa Pires,Rua Uberlândia,99,3,2,1.0,2000,0.0,0.0,0
Casa,Pioneiros,Rua Ana Luiza de Souza,150,1,1,1.0,2000,0.0,0.0,0
Casa,Jardim Itamaracá,Rua Joana Maria de Souza,79,2,2,2.0,2000,0.0,108.0,0
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,53,2,1,1.0,2000,326.0,125.0,1
Apartamento,Residencial Novo Seminário,Rua Ciro Macuco,46,2,2,2.0,2000,0.0,0.0,0
Apartamento,Vila Rosa Pires,Rua Uberlândia,99,3,2,1.0,2000,985.0,305.0,1
Apartamento,Bairro Seminário,Rua Cardeal Arcoverde,50,2,1,2.0,2000,0.0,0.0,0
Casa,Jardim Colibrí,Rua João Scarano,100,3,1,2.0,2000,0.0,0.0,0
Casa,Portal do Panamá,Rua Antônio Pereira Veríssimo,100,2,2,3.0,2000,0.0,0.0,0
Apartamento,Monte Castelo,Rua Doutor Arthur Jorge,142,3,3,1.0,2000,910.0,214.0,1
Apartamento,Monte Castelo,Rua Onoria Martins Pereira,50,2,1,1.0,2000,0.0,0.0,0
Apartamento,Vila Albuquerque,,65,3,2,1.0,2000,522.0,217.0,1
Casa,Jardim Tijuca,Rua Culuene,160,2,1,1.0,2000,0.0,84.0,0
Casa,Vila Sílvia Regina,Rua Gravatá,100,3,1,2.0,2000,0.0,0.0,0
Apartamento,Mata do Jacinto,Rua Afro Puga,54,2,1,1.0,2000,474.0,166.0,1
Casa,Vila Carlota,Rua do Dinar,83,3,2,1.0,2000,413.0,104.0,1
Casa,Mata do Jacinto,Rua Engenheiro Semi Ferzelli,90,4,1,1.0,2000,0.0,100.0,0
Casa,Jardim Jacy,Rua Espanha,83,2,2,5.0,2000,0.0,0.0,0
Casa,Vila Santo Eugênio,Rua Vinte e Três de Outubro,99,3,2,3.0,2000,0.0,113.0,0
Apartamento,Centro,Rua das Garças,55,1,1,1.0,2000,719.0,155.0,1
Casa,Jardim Montevidéu,Rua Itapiranga,63,3,2,1.0,2000,0.0,92.0,0
Casa,Monte Castelo,Rua Antonina de Castro Faria,55,2,2,1.0,2030,0.0,100.0,0
Apartamento,Jardim das Nações,Rua Luis Coutinho,40,2,1,1.0,2100,0.0,0.0,0
Apartamento,Tiradentes,Avenida Marquês de Pombal,50,2,1,1.0,2100,350.0,120.0,1
Casa,Vila Nasser,Rua Tenente Lira,250,4,2,6.0,2100,0.0,173.0,0
Apartamento,Vila Carlota,Avenida Fábio Zahran,42,2,1,1.0,2150,400.0,0.0,1
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,54,2,1,1.0,2200,0.0,0.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45,2,1,1.0,2200,0.0,0.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45,2,1,1.0,2200,0.0,0.0,0
Casa,Parque Residencial Rita Vieira,Rua Maria Justina de Souza,54,1,2,2.0,2200,100.0,0.0,1
Apartamento,São Francisco,Rua Quatorze de Julho,45,2,1,1.0,2200,0.0,0.0,0
Casa,Vila Palmira,Rua Jerusalém,200,4,2,5.0,2200,0.0,0.0,0
Apartamento,Centro,Rua Rui Barbosa,69,3,2,1.0,2200,468.0,240.0,1
Casa,Estrela do Sul,Rua Aladim,165,2,2,2.0,2200,0.0,0.0,0
Casa,Parque dos Novos Estados,Rua Mirangaba,150,3,1,2.0,2200,0.0,0.0,0
Apartamento,Vila Margarida,Rua Rio Negro,61,1,2,1.0,2200,580.0,282.0,1
Casa,Coronel Antonino,Rua Doutor Meireles,50,2,1,1.0,2200,0.0,105.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45,2,1,1.0,2200,0.0,0.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45,2,1,1.0,2200,0.0,0.0,0
Apartamento,Carandá Bosque,Rua Vicente Lopes Gondim,55,2,1,1.0,2200,200.0,100.0,1
Apartamento,Monte Castelo,Rua Eduardo Santos Pereira,120,2,2,1.0,2200,845.0,319.0,1
Apartamento,Parque Residencial Rita Vieira,Rua Mariza Andrade Ribeiro,49,2,1,1.0,2200,0.0,0.0,0
Apartamento,Loteamento Portobello,Rua do Latim,56,2,1,1.0,2200,0.0,0.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,49,2,1,1.0,2200,0.0,0.0,0
Casa,Panorama,Rua Roraima,59,1,3,1.0,2200,0.0,0.0,0
Apartamento,São Francisco,Rua Sacramento,70,3,2,2.0,2200,437.0,197.0,1
Casa,Bairro Seminário,Rua Campanário,90,2,1,2.0,2200,0.0,100.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,45,2,1,1.0,2200,0.0,0.0,0
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,89,2,1,1.0,2300,0.0,0.0,0
